name,title,url_link
HYBE LABELS,NewJeans (뉴진스) 'Attention' Official MV,https://www.youtube.com//watch?v=js1CtxSY38I
스브스케이팝 X INKIGAYO,NewJeans(뉴진스) - Cookie @인기가요 inkigayo 20220807,https://www.youtube.com//watch?v=wogyLl3BbjY
KBS Kpop,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Attention' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220805,https://www.youtube.com//watch?v=CHp0Kaidr14
Soul,뉴진스 노래모음 (가사포함) | Full Album,https://www.youtube.com//watch?v=hpIkeGOZomU
SoulYeon솔연,[4K] NewJeans (뉴진스) Hype Boy (하입보이) 교차편집 (Stage Mix),https://www.youtube.com//watch?v=CPuJ6xPRYXQ
때껄룩ᴛᴀᴋᴇ ᴀ ʟᴏᴏᴋ,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 내가 들으려고 만든 뉴진스 노래모음 (1Hour Loop),https://www.youtube.com//watch?v=ewxYV67Gtn4
K MUSIC,[Full Album] NewJeans (뉴진스) 1st EP 'New Jeans',https://www.youtube.com//watch?v=pqlrCp-2GLI
HYBE LABELS,NewJeans (뉴진스) 'Cookie' Official MV,https://www.youtube.com//watch?v=VOmIplFAGeg
Jaeguchi,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics),https://www.youtube.com//watch?v=ma8FcJxhZnw
KBS Kpop,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송,https://www.youtube.com//watch?v=iXM99GTJWsk
핑크퐁 (인기 동요・동화),"니니모송🐱 | 뉴진스X핑크퐁X아기상어 | 니니모는 핑크퐁, 뉴진스가 가는 곳 어디든 따라갈테야🐈 | 핑크퐁 Dance Alive",https://www.youtube.com//watch?v=rk2N1OtxQ8s
STUDIO CHOOM [스튜디오 춤],[BE ORIGINAL] NewJeans(뉴진스) 'Attention' (4K),https://www.youtube.com//watch?v=lgfXrQUx4go
KBS Kpop,"[교차편집] 뉴진스 없는 이번주는 재미없어 어쩌지? 어쩌긴 뭘 어째, 교차편집으로 보면 되징💙 (NewJeans Hype boy Stage Mix) l KBS 방송",https://www.youtube.com//watch?v=bqoHoDFFlXg
KBS Kpop,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220812 방송,https://www.youtube.com//watch?v=IQ69bf8uqME
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1),https://www.youtube.com//watch?v=11cta61wi0g
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (MINJI ver.),https://www.youtube.com//watch?v=Rrf8uQFvICE
KBS Entertain,[제49회 한국방송대상 시상식] 축하공연 - 뉴진스 Attention [제 49회 한국방송대상] | KBS 220905 방송,https://www.youtube.com//watch?v=xhRgoLReeFE
Harper's BAZAAR Korea,"[ENG] 프로 아이돌 그 잡채 뉴진스(NEWJEANS), ""이거 다 보면...입덕하는 거다?""",https://www.youtube.com//watch?v=sNyMxH7_9yQ
On the street,221008 New Jeans 뉴진스 Full 4K 60p 직캠 (Fancam) 2022 TMA 더팩트 뮤직 어워즈 The Fact Music Awards @올림픽공원 체조경기장,https://www.youtube.com//watch?v=hcctKkGM0GM
NewJeans,[NewZips] Last Day In 뉴캠프 ⛺️🌳 EP.3ㅣNewJeans,https://www.youtube.com//watch?v=XwUdoDcgfng
Coffee4U,"220921 NewJeans (뉴진스) Full Ver. ""Attention, Cookie, Hurt, Hype Boy"" 직캠(Fancam) [4K 60p] @단국대학교 축제",https://www.youtube.com//watch?v=oZps8KZzYBc
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (DANIELLE&HAERIN ver.),https://www.youtube.com//watch?v=9wUKhEgnllc
Hanni Pham,"[1 Hour] NewJeans (뉴진스) Attention, Hype Boy, Cookie, & Hurt",https://www.youtube.com//watch?v=x0snQpyOJDY
it's Live,[4K] NewJeans (뉴진스) -“Attention” Band LIVE Concert│뉴진스의 청량 하이틴 밴드라이브💫 [it’s KPOP LIVE 잇츠라이브],https://www.youtube.com//watch?v=SVZhx-woT_g
이슈피드,방탄 여동생 드디어 등장ㄷㄷ화제의 걸그룹 '뉴진스'에 대한 모든 것,https://www.youtube.com//watch?v=YBMQC_PrwU4
여닝,"뉴진스,아이브 차별하는 트와이스",https://www.youtube.com//shorts/iFPfnl7q1Nc
KCON official,NewJeans (뉴진스) ALL MOMENTS 🎁💚 | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=iMqXW6lSvB4
M2,[MPD직캠] 뉴진스 직캠 8K 'Hype Boy' (NewJeans FanCam) | @MCOUNTDOWN_2022.8.4,https://www.youtube.com//watch?v=MwIZz8zadqo
Tiamo Kpop,[Full Album] NewJeans (뉴진스) – New Jeans,https://www.youtube.com//watch?v=BCL98m0f3Kk
뉴러버,[뉴진스] 세상 무해한 뉴진스 관계성.zip 📁,https://www.youtube.com//watch?v=N_2EJDwiVoU
SBS 뉴스,"""'뉴진스' 성공 예상했다""…K-POP의 지휘자 '프로듀서 민희진' / SBS / 초대석",https://www.youtube.com//watch?v=rRQ3f30Csr0
lovelyeonwoo,[Full Album] NewJeans (뉴진스) – New Jeans,https://www.youtube.com//watch?v=YGieI3KoeZk
디글 :Diggle,[#유퀴즈온더블럭] 하이브 천재 디렉터 민희진 걸그룹 '뉴진스' 탄생 비화✨ 다시 재평가 되는 민희진의 확신에 찬 한 마디😎 | #지금꼭볼동영상,https://www.youtube.com//watch?v=mGX0u6xnUy4
idol studio,NewJeans (뉴진스) 'Cookie' (쿠키) (교차편집 Stage Mix),https://www.youtube.com//watch?v=Qik3RP-1CV8
워니블루 wonnieblue,뉴진스 아카라카 풀직캠 1열 full ver | NEWJEANS 연세대 축제 AKARAKA 뉴진스 멘트  attention어텐션  hype boy 쿠키 cookie hurt,https://www.youtube.com//watch?v=RMiJ_c6uCNw
스브스케이팝 X INKIGAYO,NewJeans(뉴진스) - Attention @인기가요 inkigayo 20220814,https://www.youtube.com//watch?v=YKeLPiX2weg
Mnet K-POP,[NewJeans - Hype Boy] #엠카운트다운 EP.767 | Mnet 220825 방송,https://www.youtube.com//watch?v=GL2QFKnhxv8
한동근 Han Dong Geun,🐰뉴진스 (NewJeans) - Attention (Cover by 한동근),https://www.youtube.com//shorts/pROtVPElNlo
Mnet K-POP,[교차편집] 뉴진스 - Hype boy (NewJeans 'Hype Boy' StageMix),https://www.youtube.com//watch?v=6FnvcuXbPSo
스브스케이팝 X INKIGAYO,[단독샷캠4K] 뉴진스 'Attention' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220807,https://www.youtube.com//watch?v=c6URxEZbJP4
HYBE LABELS,NewJeans (뉴진스) 'Hurt' Official MV,https://www.youtube.com//watch?v=tVIXY14aJms
Mnet K-POP,[NewJeans - Hype Boy] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송,https://www.youtube.com//watch?v=DAEK5GrLb_Y
예사소리,뉴진스 실물 체감 (갓기 주의),https://www.youtube.com//shorts/Km_SJ-dmuo4
Tyler Nguyen,"New Jeans (뉴진스) - ""Hype Boy"" AKARAKA (아카라카) [Close Up]",https://www.youtube.com//watch?v=tiao0m67fi8
HYBE LABELS,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.),https://www.youtube.com//watch?v=x8RIixqumUc
KCON official,NewJeans (뉴진스) - Attention | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=ytIm1MAeyq0
lovelyeonwoo,NewJeans (뉴진스) – Hype Boy Lyrics (Color Coded Han/Rom/Eng),https://www.youtube.com//watch?v=a1r2PX8uwPg
NewJeans,[NewZips] Welcome to 뉴캠프🚞💨 EP.2ㅣNewJeans,https://www.youtube.com//watch?v=NzbZrknwTgA
KCON official,NewJeans (뉴진스) - Hype Boy | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=P-xw8z6knWY
GQ KOREA,[ENG] 뉴진스(NewJeans)도 게임에 진심이었어💞 귀요미들 찐텐션 볼 사람 모여라 l SPOILER GAME I GQ Shoothing Behind,https://www.youtube.com//watch?v=6lhr64T9EvM
이슈피드,현재 난리난 뉴진스 단국대 축제 무대ㄷㄷ 라이브 논란 터진 진짜 이유,https://www.youtube.com//watch?v=k__rZGJACzw
KBS Kpop,[K-Choreo 8K] 뉴진스 직캠 'Hype Boy' (NewJeans Choreography) l @MusicBank 220812,https://www.youtube.com//watch?v=hJUx6Jut_Ao
Onyx Dance Crew RD,[ONYXDANCECREWRD] NEWJEANS (뉴진스) - 'Hype Boy' DANCE COVER | 커버댄스,https://www.youtube.com//watch?v=CutsUAh2nt8
KBS Kpop,[K-Choreo 8K] 뉴진스 직캠 'Hype Boy' (NewJeans Choreography) l @MusicBank 220819,https://www.youtube.com//watch?v=7lIKfP7UOFQ
